MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,TargetPrice,BedroomsPerRoom,dist_sf,dist_la,dist_sj,dist_sd,dist_coastline,RoomsPerHousehold,Cluster
8.3252,41.0,6.984126984126984,1.0238095238095235,322.0,2.555555555555556,37.88,-122.23,4.526,0.146590909090909,20.34982981630175,556.3665391658685,67.35754365474408,735.1468277970795,20.34982981630175,6.984126984126984,5
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,0.1557965910691646,19.936642376471674,554.1206133864127,64.98006880480223,732.8852862824059,19.936642376471674,6.238137082601054,5
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,0.1295160190865712,17.861486601991647,554.4602092609076,64.82607961919327,733.1828218230663,17.861486601991647,8.288135593220339,5
5.6431,52.0,5.817351598173516,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,0.184458398744113,17.08764077829156,555.0465738433224,65.25620668242168,733.7552487486137,17.08764077829156,5.817351598173516,1
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,0.1720958819913952,17.08764077829156,555.0465738433224,65.25620668242168,733.7552487486137,17.08764077829156,6.281853281853282,1
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,0.2317736670293797,17.08764077829156,555.0465738433224,65.25620668242168,733.7552487486137,17.08764077829156,4.761658031088083,1
3.6591,52.0,4.9319066147859925,0.95136186770428,1094.0,2.1284046692607004,37.84,-122.25,2.992,0.1928994082840236,16.575450787023694,554.2198218939106,64.2934331571285,732.9128746042154,16.575450787023694,4.9319066147859925,1
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,0.2213273195876288,16.575450787023694,554.2198218939106,64.2934331571285,732.9128746042154,16.575450787023694,4.797527047913447,1
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,0.2602739726027397,15.787578940267323,554.8079821648686,64.73920790909439,733.4867116840273,15.787578940267323,4.294117647058823,1
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,0.1992110453648915,16.575450787023694,554.2198218939106,64.2934331571285,732.9128746042154,16.575450787023694,4.970588235294118,1
3.2031,52.0,5.477611940298507,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815,0.1970935513169845,16.324612963698407,555.6337819197557,65.69538999832464,734.3283531046668,16.324612963698407,5.477611940298507,1
